weight_unit : Единица веса;name : Название;weight : Вес;article : Артикул;amount : Количество;price : Цена;vendor : Производитель;folder : Категория;image : Иллюстрация
кг;Кулер для воды TK-AEL-L4; 1.6;Артикул: 00407;6;2000;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/734/500_500_1/lflf276ytrevfzi19t73ag36qch17vbj.jpg,https://akva-mir.ru/upload/resize_cache/iblock/d5a/500_500_1/nhztrsa8zxqe0qtqnhbgn9dh6ny3gkxl.jpg,https://akva-mir.ru/upload/resize_cache/iblock/64f/500_500_1/yfiaia9r8mtdhs0iogebiiushz6rul6e.jpg,https://akva-mir.ru/upload/resize_cache/iblock/b01/500_500_1/rfe9ijkxeuhi71b7undv0xhy01oodh6z.jpg,https://akva-mir.ru/upload/resize_cache/iblock/312/500_500_1/ov7fcxoqjh484akkxtz51sopkgu075n7.jpg,https://akva-mir.ru/upload/resize_cache/iblock/04d/500_500_1/mzjrv1pncfh433rki5daxar8f322btz3.jpg,https://akva-mir.ru/upload/resize_cache/iblock/0ae/500_500_1/l7mev7p5umgu1n31mw0en7je29v0u7cg.jpg,https://akva-mir.ru/upload/resize_cache/iblock/790/500_500_1/idvhjhlhta19hohe3apznkstk2ahbca6.jpg,
кг;Кулер для воды TD-AEL-L4; 0.7;Артикул: 00406;7;3150;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/ff0/500_500_1/xawiuzgg88465oa4sdn9ow0rs2ygag95.jpg,https://akva-mir.ru/upload/resize_cache/iblock/7a1/500_500_1/v35fi52h04iqcxgy17dzfhce3z5okyf6.jpg,https://akva-mir.ru/upload/resize_cache/iblock/4b7/500_500_1/rejc6mhgl580igqpdt4mb7hkysve0s01.jpg,https://akva-mir.ru/upload/resize_cache/iblock/925/500_500_1/klybhwx90xo9jeeblwgp8m4ixkensk9p.jpg,https://akva-mir.ru/upload/resize_cache/iblock/dfd/500_500_1/43uqkno5yr6p71n2csiizl0nszq2gdps.jpg,https://akva-mir.ru/upload/resize_cache/iblock/b4b/500_500_1/8qf4bt1f27ke61p0ywnrc7a244q2ixmv.jpg,https://akva-mir.ru/upload/resize_cache/iblock/b44/500_500_1/it0wf1v5so18zfh9jrywmcmspcrcq8vx.jpg,https://akva-mir.ru/upload/resize_cache/iblock/5c6/500_500_1/eevyq82w8gqzjxxliibpgoasqef9xklr.jpg,https://akva-mir.ru/upload/resize_cache/iblock/a48/500_500_1/bf0hfzqad6pstej8fpvja229i1vpqdqe.jpg,
кг;Кулер для воды TD-AEL-111; 2.62;Артикул: 00410;ожидается 29.07;4200;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/0fe/500_500_1/xmd721bfvyp4yv98iow0x9hag9ifmtyh.jpg,https://akva-mir.ru/upload/resize_cache/iblock/587/500_500_1/80lggs5nkl26ojwwwp1u815ogwruohju.jpg,https://akva-mir.ru/upload/resize_cache/iblock/084/500_500_1/tnfpfbeqpwm4xk13ffbbtz8lcxrx5qjn.jpg,https://akva-mir.ru/upload/resize_cache/iblock/24e/500_500_1/2rt67livugdkekil5gxomvo1zjnbr4ec.jpg,https://akva-mir.ru/upload/resize_cache/iblock/83a/500_500_1/8ji8712f070w3cvatt60zqnijlx4yw1q.jpg,https://akva-mir.ru/upload/resize_cache/iblock/384/500_500_1/jgpdsfxfsaqc528q25y2t46faok9o1l2.jpg,https://akva-mir.ru/upload/resize_cache/iblock/55d/500_500_1/rduttnx7euxertiappl7tsqzu07995b3.jpg,https://akva-mir.ru/upload/resize_cache/iblock/afd/500_500_1/01vnmyo9qo801haen33z3emz8x8gp3nx.jpg,https://akva-mir.ru/upload/resize_cache/iblock/b8e/500_500_1/u8im48cde3w95zsf93ymci130or0ch9y.jpg,https://akva-mir.ru/upload/resize_cache/iblock/249/500_500_1/56mh3df0oyc417cmw4dmn6d5do58p7v6.jpg,https://akva-mir.ru/upload/resize_cache/iblock/e31/500_500_1/f7mnxwkrehm1wudlvj0274juo902p0zm.jpg,https://akva-mir.ru/upload/resize_cache/iblock/7f2/500_500_1/1bvfjfpnad8e7nlw9a8p1k1i6qc0njm0.jpg,https://akva-mir.ru/upload/resize_cache/iblock/29e/500_500_1/104q4rfl7dacod02a400mi1lkd5hr7rd.jpg,https://akva-mir.ru/upload/resize_cache/iblock/515/500_500_1/8pfemf3d1r8jw58ro105ucnll5dtsn9g.jpg,
кг;Кулер для воды TK-AEL-107; 1.46;Артикул: 00409;ожидается 29.07;2650;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/268/500_500_1/12gj1bjyhoujgscxdy4d2hyj5339bcl8.jpg,https://akva-mir.ru/upload/resize_cache/iblock/1de/500_500_1/k2z1lp4zrp2cflyaqw3krlyfizs7w8ie.jpg,https://akva-mir.ru/upload/resize_cache/iblock/8db/500_500_1/6rew7i2ujybqy2susxi9utfwhqd74456.jpg,https://akva-mir.ru/upload/resize_cache/iblock/52b/500_500_1/o5aguimyct1orymzhjuxrubccgwdgbn6.jpg,https://akva-mir.ru/upload/resize_cache/iblock/cf5/500_500_1/6y14h7z171h8mfkzfstjmqujhckfhuej.jpg,https://akva-mir.ru/upload/resize_cache/iblock/7e8/500_500_1/7cua1mazt3elbdyhrmucq5a9iypavvc3.jpg,https://akva-mir.ru/upload/resize_cache/iblock/9c9/500_500_1/q2w7lncunx1thxczl6lg827pvu2z01fq.jpg,https://akva-mir.ru/upload/resize_cache/iblock/3a8/500_500_1/spjmq5wsnnrn9ospmrxyvbmbm639gqan.jpg,https://akva-mir.ru/upload/resize_cache/iblock/16c/500_500_1/7fw8r6jqkl9h59yurcy2vnjlhif3sl3d.jpg,https://akva-mir.ru/upload/resize_cache/iblock/e51/500_500_1/2mhqspawjnc9u0ob53ctifdmclpignbr.jpg,https://akva-mir.ru/upload/resize_cache/iblock/0ad/500_500_1/xxtap55k2tmlwnkueno372509wja21ba.jpg,https://akva-mir.ru/upload/resize_cache/iblock/381/500_500_1/ff5xwoeylj7725389xeaju508o2osq1d.jpg,
кг;Кулер для воды T-103; 0.67;Артикул: 70105;7;825;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/a21/500_500_1/siqtigvqtdhf9g6uo1i7dwle96am7767.jpg,https://akva-mir.ru/upload/resize_cache/iblock/70c/500_500_1/txxszsa3hd39wwldudj8jx32ledxnxh6.jpg,https://akva-mir.ru/upload/resize_cache/iblock/47e/500_500_1/l77o6zi9pro6bj28j34ij20oxcp0i4si.jpg,https://akva-mir.ru/upload/resize_cache/iblock/9ae/500_500_1/kvvngehdh4ozjvxspnjji3mhv0oa8goj.jpg,
кг;Кулер для воды TK-AEL-111; 1.96;Артикул: 00411;ожидается 29.07;2500;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/c55/500_500_1/vts1sfhcv6qippeam8qu44dmrdb021fh.jpg,https://akva-mir.ru/upload/resize_cache/iblock/840/500_500_1/hvz6kiiv5hl4ro173rs1fdzxpaodtx9e.jpg,https://akva-mir.ru/upload/resize_cache/iblock/20e/500_500_1/bri15icbmpih1a0sya5mc5fd6n6d6nd4.jpg,https://akva-mir.ru/upload/resize_cache/iblock/5ff/500_500_1/q5szzxhd8izp1a36i36kybj6hu0gz3r2.jpg,https://akva-mir.ru/upload/resize_cache/iblock/e70/500_500_1/bw2nq516nsz43j9xi32i6rzntwb6z457.jpg,https://akva-mir.ru/upload/resize_cache/iblock/a86/500_500_1/r34or83xrug9ec80db543qgzi3dmwpw5.jpg,https://akva-mir.ru/upload/resize_cache/iblock/c22/500_500_1/dmamgkp8xjk6suxy4y98sougu6zlxd05.jpg,https://akva-mir.ru/upload/resize_cache/iblock/5f7/500_500_1/5aoovu6j7vu9lcwtyotd6736fk9c7mpv.jpg,https://akva-mir.ru/upload/resize_cache/iblock/ccf/500_500_1/j9q1n9lmughyxp72vjhiddwhu27apwmn.jpg,https://akva-mir.ru/upload/resize_cache/iblock/916/500_500_1/fayfxzl5no4c8x6rhz3yxvc0iushe2d7.jpg,
кг;Кулер для воды TD-AEL-107; 2.62;Артикул: 00408;ожидается 29.07;3800;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/706/500_500_1/2piu0safu7vkvy169i6wxlk52fnr96kl.jpg,https://akva-mir.ru/upload/resize_cache/iblock/4fa/500_500_1/8vy0b1hxo87p2fpfxrh0pw84017wlb5h.jpg,https://akva-mir.ru/upload/resize_cache/iblock/c9d/500_500_1/9cwebfrkskosu3kjod6mi9rv1qbkvx91.jpg,
кг;Кулер для воды TC-AEL-47 black/silver; 10.8;Артикул: 00377;отсутствует;11200;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/238/500_500_1/g2kphhho9k4n37p413hobgwm3fo063nw.jpg,https://akva-mir.ru/upload/resize_cache/iblock/96f/500_500_1/pukt03silohdi7ejgoc5wg736dohtb76.jpg,https://akva-mir.ru/upload/resize_cache/iblock/241/500_500_1/yjn6adlsp2cb9exmtneqgbjmb8d2qkf2.jpg,https://akva-mir.ru/upload/resize_cache/iblock/9ca/500_500_1/zvizpmg0qfagh62oumwwq6p2z9die0rc.jpg,https://akva-mir.ru/upload/resize_cache/iblock/edb/500_500_1/3hbtdqu9e2lqpve5qy9ybd9kztf4btlo.jpg,https://akva-mir.ru/upload/resize_cache/iblock/723/500_500_1/ojsu78hukmjoxfkkcsljav4k8a3cviv0.jpg,https://akva-mir.ru/upload/resize_cache/iblock/b94/500_500_1/0nhc89eq1ox0rcny44g5rqy5ncjw9mdu.jpg,
кг;Кулер для воды TK-AEL-36 v.2; 2.42;Артикул: 00298;8;2700;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/bac/500_500_1/upkf76uuty4eqcjrvvxtcefn7lq75eq8.jpg,
кг;Кулер для воды TK-AEL-47 black/silver; 4.2;Артикул: 00311;10;4300;AEL;Настольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/58c/500_500_1/qi846ztkgoz191v3z8ozbz6nd2pvkcdw.jpg,https://akva-mir.ru/upload/resize_cache/iblock/fb6/500_500_1/18hew316ogvqlbbk9irfr3vdutq4zxhu.jpg,https://akva-mir.ru/upload/resize_cache/iblock/984/500_500_1/8ujwm9d0yayy0ua8mexmgdtt29famgq1.jpg,https://akva-mir.ru/upload/resize_cache/iblock/21a/500_500_1/9oty8ictnsifwmspelruj8w06gsnbdf1.jpg,https://akva-mir.ru/upload/resize_cache/iblock/37b/500_500_1/34px1dnkh7dmbr3blfkp4mb3c224e97x.jpg,https://akva-mir.ru/upload/resize_cache/iblock/da4/500_500_1/wzq01swwmfgtu8buhiop45w7xzygasn3.jpg,https://akva-mir.ru/upload/resize_cache/iblock/7be/500_500_1/if06jl82s25h811pgguvx797b61zr16z.jpg,https://akva-mir.ru/upload/resize_cache/iblock/9c9/500_500_1/cqc2y3oa22lgoqdtqtjpvtdy3lcrkbx9.jpg,https://akva-mir.ru/upload/resize_cache/iblock/8f5/500_500_1/o1tss8ht3qegu6j3y5klsoeftlx1ggp4.jpg,
